City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Akdepe,TM,42.06,59.38,30.2,68,90,6.93,overcast clouds
116,Karhal,IN,27.0,78.94,53.42,39,21,4.79,few clouds
117,Anan,JP,33.92,134.65,37.4,64,20,4.7,few clouds
118,Kaeo,NZ,-35.1,173.78,72.0,73,90,7.0,overcast clouds
119,Evensk,RU,61.95,159.23,6.04,89,100,17.72,overcast clouds
120,Marsh Harbour,BS,26.54,-77.06,73.87,65,5,11.05,clear sky
121,Anadyr,RU,64.75,177.48,-13.0,75,0,2.24,clear sky
122,Carora,VE,10.18,-70.08,81.25,59,54,10.04,broken clouds
123,Uige,AO,-7.61,15.06,64.58,95,100,3.13,overcast clouds
124,Lagoa,PT,39.05,-27.98,64.45,85,100,33.78,light rain
125,Sao Miguel Do Guama,BR,-1.63,-47.48,77.83,84,77,4.94,broken clouds
126,Kuloy,RU,61.03,42.49,35.55,97,100,9.13,overcast clouds
127,Sinnamary,GF,5.38,-52.95,78.98,85,98,7.58,overcast clouds
128,Kinablangan,PH,7.69,126.55,77.41,82,87,3.51,moderate rain
129,Maniitsoq,GL,65.42,-52.9,21.85,94,100,21.41,overcast clouds
130,Hirtshals,DK,57.59,9.96,45.0,94,98,5.01,overcast clouds
131,Ornskoldsvik,SE,63.29,18.72,39.2,100,96,12.75,overcast clouds
132,Palm Springs,US,33.83,-116.55,75.0,13,1,4.7,clear sky
133,Gornyy,RU,55.12,83.91,-4.79,93,98,8.66,overcast clouds
134,Flinders,AU,-34.58,150.86,72.0,83,100,1.99,overcast clouds
135,Yellowknife,CA,62.46,-114.35,-16.01,75,75,10.29,light snow
136,Kapuskasing,CA,49.42,-82.43,33.8,80,100,10.29,light snow
137,Mananara,MG,-16.17,49.77,74.66,90,69,2.91,light rain
138,Dudinka,RU,69.41,86.18,-31.0,73,0,4.47,clear sky
139,Bloemhof,ZA,-27.65,25.61,76.5,33,70,8.55,broken clouds
140,Liwale,TZ,-9.77,37.93,69.67,97,44,2.93,light rain
141,Druzhba,UA,52.04,33.95,29.64,99,100,6.29,overcast clouds
142,Bredasdorp,ZA,-34.53,20.04,66.2,88,0,5.82,clear sky
143,Saurimo,AO,-9.66,20.39,62.46,98,99,2.46,overcast clouds
144,Mapastepec,MX,15.43,-92.9,86.54,54,75,5.23,broken clouds
145,Korsakov,RU,46.63,142.78,-4.0,76,75,2.24,broken clouds
146,Mana,GF,5.66,-53.78,78.91,85,100,8.01,overcast clouds
147,Tiksi,RU,71.69,128.87,-13.83,90,100,9.44,overcast clouds
148,Komsomolskiy,UZ,40.43,71.72,33.8,86,90,2.24,fog
149,San Cristobal,VE,7.77,-72.22,84.2,62,40,9.17,scattered clouds
150,Sukhinichi,RU,54.1,35.34,32.83,99,100,7.0,light rain
151,Zaysan,KZ,47.47,84.87,15.89,93,100,0.54,overcast clouds
152,Quatre Cocos,MU,-20.21,57.76,77.0,88,40,3.36,scattered clouds
153,Asadabad,IR,34.78,48.12,32.5,83,35,1.57,scattered clouds
154,Ostrovnoy,RU,68.05,39.51,27.5,96,100,19.42,light snow
155,Gat,IL,31.61,34.76,57.0,87,0,2.24,clear sky
156,Whitianga,NZ,-36.83,175.7,69.17,64,41,6.58,scattered clouds
157,Souillac,MU,-20.52,57.52,77.0,88,40,3.36,scattered clouds
158,Viedma,AR,-40.81,-63.0,75.99,34,0,1.99,clear sky
159,Cheney,US,47.49,-117.58,45.0,93,75,14.99,broken clouds
160,Cap Malheureux,MU,-19.98,57.61,75.99,85,1,1.99,clear sky
161,Kholm,RU,59.27,32.85,32.65,97,100,5.91,overcast clouds
162,Adre,TD,13.47,22.2,60.49,30,1,6.53,clear sky
163,Mao,ES,39.89,4.27,55.4,93,9,8.05,clear sky
164,Verkhoyansk,RU,67.54,133.38,-39.71,79,100,0.85,overcast clouds
165,Avarua,CK,-21.21,-159.78,82.4,61,99,4.7,overcast clouds
166,Kapoeta,SS,4.77,33.59,83.23,39,33,11.14,scattered clouds
167,Majene,ID,-3.54,118.97,77.67,80,100,6.31,overcast clouds
168,Perambalur,IN,11.23,78.88,69.8,88,20,11.41,mist
169,Muisne,EC,0.6,-80.03,80.6,78,40,13.87,scattered clouds
170,Victoria,HK,22.29,114.16,57.0,60,100,13.87,overcast clouds
171,Bengkulu,ID,-3.8,102.27,74.25,81,70,4.25,moderate rain
172,Klaksvik,FO,62.23,-6.59,42.8,100,73,10.29,light rain
173,Issoudun,FR,47.0,1.83,44.6,93,0,6.93,clear sky
174,Rio Grande,BR,-32.03,-52.1,71.4,61,0,10.98,clear sky
175,Pisco,PE,-13.7,-76.22,73.4,69,0,18.34,clear sky
176,Hasaki,JP,35.73,140.83,30.2,54,20,4.7,few clouds
177,Shizunai,JP,42.33,142.37,24.51,88,90,16.75,overcast clouds
178,Murud,IN,18.33,72.97,70.61,41,0,6.58,clear sky
179,Rabo De Peixe,PT,37.8,-25.58,62.6,93,75,18.34,broken clouds
180,Mandalgovi,MN,45.76,106.27,2.93,82,0,8.34,clear sky
181,Fort Nelson,CA,58.81,-122.7,-5.8,70,40,2.51,scattered clouds
182,Kodiak,US,57.79,-152.41,33.8,55,1,13.87,clear sky
183,Cairns,AU,-16.92,145.77,84.2,66,48,6.93,scattered clouds
184,Makakilo City,US,21.35,-158.09,82.4,58,1,11.41,clear sky
185,Ponta Delgada,PT,37.73,-25.67,62.6,93,75,18.34,broken clouds
186,Valparaiso,CL,-33.04,-71.63,77.0,43,0,17.22,clear sky
187,Sao Filipe,CV,14.9,-24.5,73.45,68,96,10.98,overcast clouds
188,Shelburne,CA,44.08,-80.2,37.0,94,79,9.84,broken clouds
189,Asifabad,IN,19.37,79.28,56.97,41,0,4.47,clear sky
190,Sumkino,RU,58.11,68.32,12.92,95,100,14.85,light snow
191,Abha,SA,18.22,42.51,55.4,76,0,6.93,clear sky
192,Samarai,PG,-10.62,150.67,82.89,72,61,1.03,broken clouds
193,Cabo San Lucas,MX,22.89,-109.91,78.01,60,75,10.29,broken clouds
194,Porbandar,IN,21.64,69.61,66.99,39,0,9.44,clear sky
195,Dzaoudzi,YT,-12.79,45.27,80.6,88,0,4.7,clear sky
196,Lasa,IT,46.62,10.7,39.0,100,75,2.15,broken clouds
197,Kichera,RU,55.94,110.1,15.64,89,100,2.39,overcast clouds
198,Ushtobe,KZ,45.25,77.98,19.89,97,100,10.87,light snow
199,Rajsamand,IN,25.07,73.88,54.09,39,0,2.51,clear sky
200,Norman Wells,CA,65.28,-126.83,-31.0,73,90,6.93,light snow
201,Aykhal,RU,66.0,111.5,-34.6,73,0,4.47,clear sky
202,Poum,NC,-20.23,164.02,79.18,70,46,9.51,scattered clouds
203,Gornopravdinsk,RU,60.05,69.9,11.91,95,100,10.42,overcast clouds
204,Yar-Sale,RU,66.83,70.83,-23.8,85,41,12.84,scattered clouds
205,Talakan,RU,50.32,130.37,-3.41,90,100,3.0,overcast clouds
206,Grindavik,IS,63.84,-22.43,35.6,78,75,26.4,light intensity drizzle
207,Salina Cruz,MX,16.17,-95.2,86.81,48,100,22.75,overcast clouds
208,Petit Goave,HT,18.43,-72.87,86.0,58,20,8.05,light rain
209,Saskylakh,RU,71.92,114.08,-37.43,80,71,4.76,broken clouds
210,Harper,LR,4.38,-7.72,79.0,85,87,5.82,overcast clouds
211,Paracuru,BR,-3.41,-39.03,81.0,73,2,18.01,clear sky
212,Talara,PE,-4.58,-81.27,71.58,75,18,12.55,few clouds
213,Clyde River,CA,70.47,-68.59,-0.4,91,90,14.99,overcast clouds
214,Mount Gambier,AU,-37.83,140.77,53.6,81,90,6.93,overcast clouds
215,Harlingen,US,26.19,-97.7,77.0,31,1,6.93,clear sky
216,Fortuna,US,40.6,-124.16,63.0,77,1,4.7,clear sky
217,Dwarka,IN,22.24,68.97,69.24,54,0,10.16,clear sky
218,Aksarka,RU,66.56,67.8,-22.86,85,47,11.7,scattered clouds
219,Vegueta,PE,-11.02,-77.64,71.53,74,65,8.5,broken clouds
220,Yumen,CN,40.28,97.2,14.74,70,58,6.91,broken clouds
221,Monrovia,LR,6.3,-10.8,75.2,94,40,3.83,scattered clouds
222,Dunedin,NZ,-45.87,170.5,54.0,85,100,7.0,overcast clouds
223,Moron,AR,-34.65,-58.62,73.0,35,0,11.01,clear sky
224,Emerald,AU,-23.53,148.17,80.6,74,75,8.05,broken clouds
225,Beyneu,KZ,45.32,55.2,22.73,96,100,14.05,overcast clouds
226,Ambon,ID,-3.7,128.18,77.0,88,0,9.17,clear sky
227,Mehran,IR,33.12,46.16,33.8,86,0,4.7,clear sky
228,Durango,MX,24.83,-104.83,59.16,34,100,7.27,overcast clouds
229,Caravelas,BR,-17.71,-39.25,77.97,81,56,10.87,broken clouds
230,Kenora,CA,49.82,-94.43,14.0,72,90,5.82,overcast clouds
231,Verkhnyaya Inta,RU,65.98,60.31,-14.62,88,44,5.1,scattered clouds
232,Sedhiou,SN,12.71,-15.56,73.4,73,95,1.77,overcast clouds
233,Gwadar,PK,25.12,62.33,68.77,64,99,6.82,overcast clouds
234,Jishou,CN,28.32,109.72,35.71,81,10,2.24,clear sky
235,Port Lincoln,AU,-34.73,135.87,59.67,73,33,14.65,scattered clouds
236,Chuy,UY,-33.7,-53.46,66.0,57,0,11.74,clear sky
237,Dapdap,PH,12.06,125.49,81.32,83,100,11.16,overcast clouds
238,Itaueira,BR,-7.6,-43.03,79.5,69,45,2.98,scattered clouds
239,Mahebourg,MU,-20.41,57.7,77.0,88,40,3.36,scattered clouds
240,Tsurib,RU,42.24,46.83,25.48,83,17,5.64,few clouds
241,Ishigaki,JP,24.34,124.16,62.6,93,75,25.28,broken clouds
242,Kalmunai,LK,7.42,81.82,76.8,88,100,11.72,moderate rain
243,Tepalcingo,MX,18.6,-98.85,91.0,28,5,4.7,clear sky
244,Owo,NG,7.2,5.59,76.44,82,98,4.32,overcast clouds
245,Lukovetskiy,RU,64.3,41.92,30.2,92,90,4.47,light snow
246,Coihaique,CL,-45.58,-72.07,62.6,45,75,8.05,broken clouds
247,Torbay,CA,47.67,-52.73,25.0,85,20,4.7,few clouds
248,Sola,VU,-13.88,167.55,86.0,74,75,5.82,light rain
249,Kavieng,PG,-2.57,150.8,84.34,69,12,2.84,light rain
250,East Moline,US,41.5,-90.44,41.0,60,1,11.41,clear sky
251,Baykit,RU,61.67,96.37,-14.06,85,98,2.48,overcast clouds
252,Alice Springs,AU,-23.7,133.88,73.4,94,90,5.82,light intensity shower rain
253,Tautira,PF,-17.73,-149.15,86.0,66,75,11.41,shower rain
254,Sungairaya,ID,0.7,108.9,76.89,88,87,6.26,light rain
