City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Port Keats,AU,82.0,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
616,Barra Patuca,HN,80.37,broken clouds,15.8,-84.28,
617,Cabedelo,BR,80.6,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
619,Rawson,AR,76.32,clear sky,-43.3,-65.1,Hotel Punta León
623,Les Cayes,HT,78.3,clear sky,18.2,-73.75,Villa Orphee
624,Pandan,PH,79.95,overcast clouds,14.05,124.17,Bonifacio Lodge
630,Bonthe,SL,79.34,clear sky,7.53,-12.51,Bonthe Holiday Village
647,Carira,BR,76.59,broken clouds,-10.36,-37.7,Praca dos motorista
651,Poso,ID,80.01,overcast clouds,-1.4,120.75,Hotel 77 Poso
655,Benjamin Constant,BR,82.4,few clouds,-4.38,-70.03,CASA AVALIADA
663,Rosario,AR,80.01,clear sky,-32.95,-60.64,Holiday Inn Rosario
667,Jawhar,SO,75.76,few clouds,2.78,45.5,cosoble spare parts
670,Cordoba,AR,80.01,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
678,Bintulu,MY,75.2,scattered clouds,3.17,113.03,900 Boutique INN
681,Manacapuru,BR,80.6,shower rain,-3.3,-60.62,Novo Hotel
682,Pauini,BR,83.89,overcast clouds,-7.71,-66.98,Casa do Kiwliks
